PRIM_STATE,OCC_CODE,OCC_TITLE,TOT_EMP,A_MEAN,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
AR,19-2021,Atmospheric and Space Scientists,40,"99,730","71,050","73,980","81,900","113,730","158,850"
AR,19-2031,Chemists,390,"81,850","45,710","54,660","71,080","98,530","122,720"
AR,19-2041,"Environmental Scientists and Specialists, Including Health",270,"87,150","49,970","56,460","75,620","103,730","158,850"
AR,19-2042,"Geoscientists, Except Hydrologists and Geographers",100,"72,140","47,400","56,690","65,250","79,650","110,350"
AR,19-3011,Economists,60,*,*,*,*,*,*
AR,19-3033,Clinical and Counseling Psychologists,510,*,*,*,*,*,*
AR,19-3034,School Psychologists,490,"59,050","29,990","51,310","61,440","72,280","78,250"
AR,19-3039,"Psychologists, All Other",90,"101,380","46,320","55,990","118,600","134,430","150,240"
AR,19-3051,Urban and Regional Planners,90,"63,950","40,530","48,310","60,800","78,310","93,800"
AR,19-3091,Anthropologists and Archeologists,30,"72,950","49,790","59,950","72,550","84,640","98,550"
AR,19-3099,"Social Scientists and Related Workers, All Other",180,"85,210","59,950","72,550","84,640","101,090","110,140"
AR,19-4012,Agricultural Technicians,330,"44,630","33,990","37,850","43,950","46,410","58,750"
AR,19-4013,Food Science Technicians,160,"47,640","39,040","41,800","46,400","53,010","58,520"
AR,19-4021,Biological Technicians,570,"50,170","35,480","42,010","47,050","57,190","64,260"
AR,19-4031,Chemical Technicians,450,"49,540","36,990","38,760","46,720","53,410","76,990"
AR,19-4042,"Environmental Science and Protection Technicians, Including Health",190,"47,040","38,680","38,740","44,500","47,840","61,710"
AR,19-4071,Forest and Conservation Technicians,220,"56,030","36,190","40,890","54,310","67,950","77,190"
AR,19-4092,Forensic Science Technicians,170,"48,610","39,680","43,300","46,210","54,460","62,370"
AR,19-4099,"Life, Physical, and Social Science Technicians, All Other",110,"56,110","39,560","49,000","54,290","63,160","71,950"
AR,19-5011,Occupational Health and Safety Specialists,830,"74,410","42,020","53,040","71,570","91,710","107,910"
AR,19-5012,Occupational Health and Safety Technicians,420,"51,220","34,450","41,480","49,090","59,760","74,140"
AR,21-0000,Community and Social Service Occupations,"14,960","52,740","31,390","37,660","47,850","61,630","80,100"
AR,21-1012,"Educational, Guidance, and Career Counselors and Advisors","2,310","61,310","42,030","49,850","60,110","69,970","81,920"
AR,21-1013,Marriage and Family Therapists,120,"52,710","41,120","42,860","47,090","56,920","71,020"
AR,21-1015,Rehabilitation Counselors,610,"36,120","24,430","26,530","29,330","43,650","57,830"
AR,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","2,860","58,960","31,600","37,280","49,990","69,630","102,400"
AR,21-1019,"Counselors, All Other",80,"38,580","22,880","29,020","31,990","47,190","53,570"
AR,21-1021,"Child, Family, and School Social Workers","1,070","46,190","35,870","38,680","42,960","50,560","59,160"
AR,21-1022,Healthcare Social Workers,"1,310","61,540","39,900","50,550","62,040","71,740","82,630"
AR,21-1023,Mental Health and Substance Abuse Social Workers,930,"58,980","34,300","45,100","49,820","64,250","76,090"
AR,21-1029,"Social Workers, All Other",680,"66,420","38,800","41,710","46,210","97,360","112,030"
AR,21-1091,Health Education Specialists,150,"64,280","40,990","47,400","57,060","80,490","95,300"
AR,21-1092,Probation Officers and Correctional Treatment Specialists,750,"49,110","39,680","44,100","48,970","54,380","59,220"
AR,21-1093,Social and Human Service Assistants,"2,830","39,330","28,500","31,880","37,340","45,980","49,250"
AR,21-1094,Community Health Workers,260,"48,400","32,330","40,740","44,850","51,270","67,610"
AR,21-1099,"Community and Social Service Specialists, All Other",480,"42,020","28,480","33,390","40,610","46,480","57,300"
AR,21-2011,Clergy,390,"54,140","33,950","43,090","51,240","61,380","75,650"
AR,21-2021,"Directors, Religious Activities and Education",120,"44,640","25,670","32,140","33,620","59,320","64,350"
AR,23-0000,Legal Occupations,"6,580","103,990","35,940","45,480","63,990","106,530","192,910"
AR,23-1011,Lawyers,"3,500","134,860","38,650","62,920","86,970","134,370","209,390"
AR,23-1012,Judicial Law Clerks,70,"88,330","55,630","73,480","94,490","106,220","119,990"
AR,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",430,"63,390","39,990","43,990","52,990","75,400","87,490"
